id	mydate	genre	text
1	2021-01-01	NEWS	 Den nya virusvarianten i Storbritannien har lett till stängda gränser i omvärlden. Larmet om den nya brittiska varianten av coronaviruset har lett till panik och stängda gränser. Men vissa experter varnar för förhastade åtgärder. - Det finns inget som bevisar ökad smittsamhet, säger virologen Tomas Bergström. Premiärminister Boris_Johnson har sagt att den nya varianten kan vara 70 procent mer smittsam. Foto: Paul Grover/Shutterstock Många länder har infört inreseförbud mot Storbritannien de senaste veckorna. Foto: Frank Augstein/TT Virologen Tomas Bergström varnar för förhastade slutsatser om den brittiska virusvarianten. Foto: Johan Wingborg / Göteborgs universitet Statsepidemiolog Anders_Tegnell säger att det var rätt att stänga gränsen mot Storbritannien. Foto: Henrik Montgomery/TT Efter en mycket dyster höst började det ljusna i Storbritannien i december. Den nationella nedstängningen som införts för att stoppa höstens virusvåg avvecklades efter att smittspridningen minskat. Kort därefter blev landet först i världen med att godkänna vaccinet från Pfizer/Biontech. Medan omvärlden såg på med avundsjuka påbörjade landet den efterlängtade vaccinationen mot covid-19. 
2	2021-01-01	NEWS	 Några personer syns framför fyrverkeripjäser. Människor betraktar privatfyrverkerier på Senatstorget i Helsingfors vid midnatt. Nyårsfirandet förlöpte relativt lugnt i Finland, enligt rapporterna från polis och räddningsmyndigheter. Många bränder sysselsatte ändå brandkårerna. En brand i Kuopio krävde ett människoliv. Myndigheterna lade på förhand sordin på firandet med coronarestriktioner och från regionerna i Svenskfinland rapporteras tidigt på morgonen inga värre incidenter. Polisen i Helsingfors rapporterar visserligen om ett normalt livligt firande trots coronarestriktionerna. Särskilt mycket uppdrag fick poliserna då barerna stängde. Siluetten av två personer syns framför en rykande fyrverkeripjäs. De offentliga fyrverkerierna var mestadels inhiberade, men många privatpersoner firade med egna fyrverkerier. Bilden är från stadsdelen Drumsö i Helsingfors. Vid Senatstorget i centrala Helsingfors rapporteras om flitigt avfyrande av fyrverkeripjäser, trots att det var förbjudet. Den vanliga, TV-sända nyårsfest på torget, som vanligen samlar tiotusentals människor var inhiberad och ersatt med en festsändning på TV. Polisen i Sydvästra Finland fick rapporter om många ungdomsgäng som höll större fester än vad coronarekommendationerna stipulerar. Polisen uppger att man i de fallen främst kontrollerade ungdomarnas ålder och skick. En död i brand i Kuopio I Kuopio inträffade en brand i ett tvåvåningshus på 150 kvadratmeter. Två personer var i huset då det började brinna. Den ena lyckades rädda sig via en balkong, men den andra personen omkom i branden. Eftersläckningen bedöms fortgå under morgonen. Räddningspersonalen vet inte hur branden fick sin början och polisen börjar undersöka saken på morgonen. Också i Lahtis brann ett större egnahemshus. I Lappland rapporteras om bränder i egnahemshus i Kemijärvi och Muonio. 
3	2021-01-01	NEWS	 Under nyårsnatten bröt polisen upp en svartklubb där man uppskattar att runt 250 personer hade samlats i en industrifastighet i Kortedala. Bland gästerna fanns både vad som beskrivs som vanlig allmänhet, men också ett stort antal gängkriminella. - När vi gick in tog någon tag en mikrofon och uppmanade gästerna att stanna kvar och inte lämna på vår anmodan, säger insatsledaren Fredrik Terje. 
4	2021-01-02	NEWS	 Det nya normala , sades 500 procent fler gånger i samtal mellan chefer och investerare under 2020 jämfört med 2019. New York Times har tillsammans med analysföretaget Sentieo kartlagt företagsfraserna som blev det nya normala i USA det gångna året. Undersökningen har tittat på fler än 20.000 olika presentationer och analyserat hur företagsspråket förändrades i USA under pandemiåret 2020. De fann ett par återkommande formuleringar som användes i möten mellan chefer och investerare för att beskriva den nya tillvaron. Unprecedented times , vilket skulle kunna översättas till Tider utan motstycke , ökade mest i användning. Det nämndes i 2.128 samtal det gångna året, en ökning med över 70.000 procent jämfört med 2019 då det bara yttrades tre gånger. Hade du frågat mig vad som verkligen boomat på engelska så är det just 'unprecedented times'. Jag får mycket mejl från USA och i dem nämns det nästan alltid. Samma sak med 'take care of yourself' eller 'stay safe' , säger Stefan Öberg, vd på Tradera. Även arbeta hemifrån ökade signifikant, med 26.820 procent. Den frasen kunde höras i lite under 5.000 samtal medan utmanande landade på 14.655. Den senare ökade däremot endast med 70 procent jämfört med ifjol. Även tekniska svårigheter fick ett stort uppsving. En fras som nästan blivit synonym med pandemin, när hemarbetandet ökat markant, är: du är på mute . Den användes 1.000 procent oftare i amerikanska affärsmöten det gångna året. Även i Sverige har det redan blivit en klassiker på digitala möten. 'Jag tror att du är på mute', den har verkligen boomat. Eller 'ser ni min presentation?'. Den frågar man varje gång man ska visa något. Det är nästan så att folk inte ens orkar svara längre. Sedan hör man ofta 'jag har problem med min kamera' , säger Stefan Öberg. Även hör ni mig? och vem var det? var två ständigt återkommande fraser på Traderas digitala möten i år. För Patrick Svensk, styrelseordförande för Readly, är det andra begrepp som tagit_sig_in sig i vokabulären. Det är klart att 'Zoommöten' har blivit ett eget begrepp som Tetra Pak. Ett bedrövligt år på det sättet, att vi pratar om 'Zoommöten' och inte vanliga möten. Redan i april hade jag använt nio olika mötestjänster. Så frasen 'hur fan delar jag den här presentationen i den här appen?' har också varit ofta använd , säger han. Enligt New York Times-undersökningen har användningen av svordomar varit oförändrad i år. 
5	2021-01-02	NEWS	 Mohammad Adil är från Pakistan och har arbetat i över 30 år som läkare i Storbritannien. Han stängdes_av från sitt arbete efter att ha kritiserat de coronarelaterade åtgärderna som han menar skördar fler liv än pandemin i sig. Nu reser han runt Europa och anordnar demonstrationer mot nedstängningarna. Videon är på engelska med svensk textning. Mohammad Adil är ordförande för World Doctors Alliance. Enligt beskrivningen på organisationens hemsida samlar man läkare, sjuksköterskor och annan hälsovårdspersonal med syfte att få stopp på alla nedstängningar och andra skadliga åtgärder för att i stället återgå till en sjukvård som är bra för människor hälsa och välbefinnande. I denna intervju med Nya Tider berättar Adil hur han under våren 2020 uppmärksammade en rad märkliga åtgärder i vården som enligt honom gjorde mer skada än nytta. Bland annat ställdes alla planerade operationer och undersökningar in, vilket gjort att miljoner människor med cancer inte fått den behandling de behöver och har rätt till. Fler människor i Storbritannien dör idag av olika typer av cancer än av Covid-19. Adils överordnade gillade dock inte det han sade, och när han gick ut med kritiken offentligt stängdes han av från sitt arbete under tolv månader i väntan på en utredning. Själv är han mycket kritisk till att han drabbats av dessa sanktioner, trots att han uttryckt sin kritik på fritiden och i egenskap av privatperson. Avstängningen har dock gett honom möjlighet att i stället arbeta med World Doctors Alliance och att anordna demonstrationer mot nedstängningar. 
6	2021-01-02	PBLMD	 Trots att data från helgerna är bristfällig och svår att bedöma tror statsepidemiolog Anders_Tegnell att det kan bli ytterligare en smittovåg av covidfall när helgdagarna är över. - Vi kan se att det tyvärr är ett antal länder i Europa som hade nedgång men som är på väg upp igen så det är väl en tendens att vi åter kommer att få en ny våg i europa efter helgerna Enligt senaste datan ser det ut som att coronafallen globalt sett blir färre, men på grund av helgdagarna under jul och nyår är statistiken svår att bedöma. - Inom Europa ser vi en liknande trend som vi har sett tidigare, efter en stor topp i september gick det nedåt ett tag och nu är det tyvärr på väg uppåt igenom, även om den sista datan är svår att bedöma, säger Anders_Tegnell på lördagens pressträff. Tendens till ny våg De flesta länder i Europa hade en topp som var betydligt tidigare än i Sverige, runt vecka 45. Den svenska kurvan har gick upp lite senare, omkring vecka 50. Enligt Tegnell ligger Sverige nu på en nivå som kan jämföras med medelvärdet i Europa, och av allt att döma ökar fallen i de europeiska länderna. - Vi kan se att det tyvärr är ett antal länder i Europa som hade nedgång men som är på väg upp igen så det är väl en tendens att vi åter kommer att få en ny våg i Europa efter helgerna här, om inte de olika insatser som vi gör får väldigt mycket större effekt än vad de har haft hittills, säger Anders_Tegnell. Räknar med höga dödstal Dödsfallen är som vanligt svåra att jämföra länder emellan och nu syns en omfattande fördröjning i statistiken över antal avlidna. Den senaste datan för Sverige kom i onsdags, då 243 nya dödsfall rapporterades och de totala dödsfallen med bekräftad covid_19 landade på 8 727. - Med tanke på hur smittspridningen ser ut får vi nog tyvärr räkna med att det kommer vara ett högt antal dödsfall den här och nästa vecka, säger Anders_Tegnell. 
7	2021-01-03	BLOG	 Hej alla! Hoppas ni mår bra, det gör jag. Jag sitter i soffan mätt och belåten och löser lite korsord framför en brasa. Hur mysigt låter inte det? Jag känner_mig just nu mer hoppfull än vad jag känt_mig på jag vet inte hur länge. Corona-vaccinet är här i Sverige och man har redan börjat vaccinera folk. Om jag förstår det rätt är det de äldre som kommer att prioriteras först att få vaccinet. Det kommer således ta ett tag innan jag får möjligheten att ta det, men det gör inget för mig. Det viktiga är att vaccinet börjar rulla_ut så vi så snart som möjligt kan återgå till det vanliga. Är vaccinet farligt? Det finns en hel del människor som säger att de inte kommer ta vaccinet. Såklart är detta upp till var och en att avgöra. Jag vet inte om alla människor är seriösa med sina uttalanden, men det finns de personer som tror att vaccinet innehåller ett chip så att högre makter ska kunna hålla koll på de som tar vaccinet. Det tror alltså helt seriöst att hela corona-viruset var planterat med mening. Jag tror verkligen inte att detta är fallet. Med det sagt har jag ingen aning om det kommer finnas några bieffekter av att man tar vaccinet. Många minns nog svininfluensan och vaccinet som gjorde att visa personer fick narkolepsi. Jag tror att många är rädda att något liknande kommer hände med detta vaccin. Kommer jag ta vaccinet? Jag vet ännu inte riktigt om jag kommer ta vaccinet. På ett sätt tycker jag det är skönt att jag inte kommer kunna ta vaccinet nu direkt. Då kan man ju se om vaccinet fungerar för de som tar det. Om vi märker att vaccinet inte har några bieffekter kommer jag garanterat ta det. Även om jag är ung och inte har så stor sannolikhet att dö av viruset finns det alltid en risk, så det är bättre att vara på den säkra sidan. Tjillevippen, vi hörs! 
8	2021-01-03	NEWS	 Region Stockholm har identifierat fyra fall av muterat covid-19-virus, uppger regionen i ett pressmeddelande. Enligt regionens smittskyddsläkare var detta inte oväntat. Det handlar om tre fall av den virusvariant som upptäckts i Storbritannien och ett fall av den variant, som kallas 501.V2, som identifierats i Sydafrika. Samtliga rör personer som vistats i dessa länder, uppger regionen. Regionens smittskyddsläkare Maria Rotzén Östlund säger i pressmeddelandet att det inte var oväntat att dessa nya mutationer skulle påvisas även i Stockholm. - Smittspårning genomfördes enligt våra rutiner så snart personerna fick positivt resultat för covid_19 och de har fått uppmaningen att följa de rekommendationer som gäller och isolera sig. Ett antal fall av virusvarianten från Storbritannien har redan tidigare konstaterats i flera regioner i Sverige, bland annat i Sörmland. Den nya varianten har tidigare uppgetts ha en högre smittsamhet, men det är ännu inte klarlagt huruvida det stämmer. Ingenting tyder på att den skulle ge ett allvarligare sjukdomsförlopp. Regionernas kliniska mikrobiologiska laboratorier har, med anledning av rapporter om mutationer, utökat sina analyser i samarbete med Folkhälsomyndigheten. Dessa har särskilt riktats mot prover från personer som testats positivt efter vistelse i Storbritannien, både nyligen och bakåt i tiden. Även resenärer från Sydafrika inkluderas sedan en tid tillbaka. Folkhälsomyndigheten uppmanar alla inresande som har vistats i Storbritannien eller Sydafrika att stanna hemma i minst sju dagar, undvika kontakt med andra så långt det går och att testa_sig snarast efter ankomst med uppföljande test fem dagar efter ankomst. 
9	2021-01-04	NEWS	 47 procent av läkarna som är medlemmar i Sveriges läkarförbund känner mer stress kopplat till jobbet sedan pandemin bröt ut, enligt en undersökning från förbundet. Arkivbild. Hälften av läkarna har inte fått tillräckligt med vila sedan pandemin bröt_ut - vilket påverkar både arbetet och privatlivet, enligt en ny undersökning. Samtidigt är många oroade över den stora vårdskulden fjolåret lämnat efter sig. Extra långa arbetsveckor. Aktiverat krislägesavtal. Inställda semestrar. En växande vårdskuld. Krislägesavtal som aktiverats på nytt. Det gångna året har varit extra påfrestande på hälso- och sjukvården på flera fronter. Och enligt en undersökning från fackförbundet Sveriges läkarförbund uppger drygt hälften av deras medlemmar att de inte har fått tillräckligt med återhämtning under pandemin. 
10	2021-01-04	NEWS	 Det är nu 30 procent fler patienter på brittiska sjukhus än vad det var för en vecka sedan, säger Storbritanniens premiärminister Boris_Johnson under ett tv-sänt tal där han tillkännager en nationell nedstängning av England. Dödstalen i landet är upp med 20 procent den senaste veckan. Foto: Stefan Rousseau/AP/TT Från och med midnatt kommer det engelska samhället att stängas_ned  med lika omfattande åtgärder som man hade i mars förra året. Nya nedstängningar väntar för England, meddelar premiärminister Boris_Johnson i ett tv-sänt tal på måndagskvällen. Det är samma besked som Skottland gav tidigare under dagen. De ny reglerna börjar gälla omedelbart, och blir lag under natten till tisdag. Den gäller fram till mitten av februari. 
